better than   [1]
my friend   [1]
no okay   [1]
life   [1]
busy   [1]
yeah why   [1]
their house   [1]
life no   [1]
very harsh   [1]
good life   [1]
uh hmm   [1]
second hand   [1]
yup   [1]
yes uh   [1]
thanks bye   [1]
laundry   [1]
air   [1]
thats wrong   [1]
mm hmmm   [1]
uh machine   [1]
environment   [1]
maybe maybe   [1]
economiy   [1]
possible   [1]
second second   [1]
