original_file_name,id_A,id_B,sentence_count_A,sentence_count_B,level_A,level_B,collab_score_avg_A,collab_score_avg_B,fragment_count_A,fragment_count_B,fragment_count_all,fragments_A,fragments_B,fragments_all
,,,,,,,,,,,,,Hi,
,,,,,,,,,,,,,Okay, let's start our business and bye,
,,,,,,,,,,,,,And uh student B,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,What about uh your uh business?
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Hi
,,,,,,,,,,,,,,Hello, B
,,,,,,,,,,,,,,Okay, let's start our business and bye
,,,,,,,,,,,,,,And uh student B
,,,,,,,,,,,,,,Student B
11442&11457_S.txt,A442,B457,19,12,2,2,4,4,2,1,3,,,
,,,,,,,,,,,, is better than me,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,, So… so it-so…,
,,,,,,,,,,,,,, is better than me
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,So… so it-so…
11443&11515_S.txt,A443,B515,15,16,2,2,4,4,1,1,2,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,, You're welcome,
,,,,,,,,,,,,,, You're welcome
,,,,,,,,,,,,,,Thank you
11547&11224_S.txt,A224,B547,17,15,2,2,4,4,1,2,3,,,
,,,,,,,,,,,, 2,,
,,,,,,,,,,,,, However, difficult to find a location with uh enough space,
,,,,,,,,,,,,,Student A,
,,,,,,,,,,,,,, 2
,,,,,,,,,,,,,,However, difficult to find a location with uh enough space
,,,,,,,,,,,,,,Student A
11554&11489_S.txt,A489,B554,14,8,2,2,4,4,3,0,3,,,
,,,,,,,,,,,, That's all,,
,,,,,,,,,,,,I'm A,,
,,,,,,,,,,,,So, what about you?,,
,,,,,,,,,,,,,, That's all
,,,,,,,,,,,,,,I'm A
,,,,,,,,,,,,,,So, what about you?
12037&12246_B.txt,A246,B037,20,12,2,2,3,3,3,2,3,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Mmm,,
,,,,,,,,,,,,Bingo,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Bingo,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Mmm
,,,,,,,,,,,,,,Bingo
12089&12365_B.txt,A089,B365,16,10,2,2,2,2,3,1,4,,,
,,,,,,,,,,,, So exciting,,
,,,,,,,,,,,,Agree with you,,
,,,,,,,,,,,,How about you?,,
,,,,,,,,,,,,, Yeah thank you,
,,,,,,,,,,,,,, So exciting
,,,,,,,,,,,,,,Yeah thank you
,,,,,,,,,,,,,,Agree with you
,,,,,,,,,,,,,,How about you?
12102&12474_B.txt,A102,B474,16,21,2,2,4,4,1,5,6,,,
,,,,,,,,,,,, Hi B,,
,,,,,,,,,,,,, Don't forget about the black hole,
,,,,,,,,,,,,,Yeah, sure,
,,,,,,,,,,,,,Hi Mr,
,,,,,,,,,,,,,Thank you, A,
,,,,,,,,,,,,,A,
,,,,,,,,,,,,,, Don't forget about the black hole
,,,,,,,,,,,,,,Yeah, sure
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,Hi Mr
,,,,,,,,,,,,,,Thank you, A
,,,,,,,,,,,,,,A
12115&12495_A.txt,A495,B115,20,22,2,2,4,4,1,7,8,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,, Yeah, hmm,
,,,,,,,,,,,,,Okay, okay,
,,,,,,,,,,,,,Mmm-hmm,
,,,,,,,,,,,,,Umm,
,,,,,,,,,,,,,What about yours?,
,,,,,,,,,,,,,So, okay,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,, Yeah, hmm
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Okay, okay
,,,,,,,,,,,,,,Mmm-hmm
,,,,,,,,,,,,,,Umm
,,,,,,,,,,,,,,What about yours?
,,,,,,,,,,,,,,So, okay
,,,,,,,,,,,,,,Yes
12116&12195_B.txt,A195,B116,15,13,2,2,4,4,3,2,5,,,
,,,,,,,,,,,, Okay this fine bro and uh have a good time with this and uh,,
,,,,,,,,,,,,V,,
,,,,,,,,,,,,Uh to explore space,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Oh,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Okay this fine bro and uh have a good time with this and uh
,,,,,,,,,,,,,,V
,,,,,,,,,,,,,,Uh to explore space
,,,,,,,,,,,,,,Oh
12132&12377_A.txt,A377,B132,7,8,2,2,3,3,0,0,0,,,
12141&12313_B.txt,A141,B313,12,13,2,2,4,4,4,1,4,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,On another hand uh can say that uh can spend half of five billion dollars to build to telescope or build the astronomy to explore the Mars,,
,,,,,,,,,,,,think?,,
,,,,,,,,,,,,What do you,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,On another hand uh can say that uh can spend half of five billion dollars to build to telescope or build the astronomy to explore the Mars
,,,,,,,,,,,,,,think?
,,,,,,,,,,,,,,What do you
12162&12058_B.txt,A162,B058,14,16,2,2,3,3,2,3,5,,,
,,,,,,,,,,,, Uh,,
,,,,,,,,,,,,Okay, thank you,,
,,,,,,,,,,,,, Okay thank you very much,
,,,,,,,,,,,,,I,
,,,,,,,,,,,,,Ever made uh before,
,,,,,,,,,,,,,, Okay thank you very much
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Okay, thank you
,,,,,,,,,,,,,,I
,,,,,,,,,,,,,,Ever made uh before
12187&12186_B.txt,A187,B186,19,17,2,2,3,3,4,0,4,,,
,,,,,,,,,,,, Thanks,,
,,,,,,,,,,,,Hi B,,
,,,,,,,,,,,,Really?,,
,,,,,,,,,,,,Wow,,
,,,,,,,,,,,,,, Thanks
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,Really?
,,,,,,,,,,,,,,Wow
12223&12029_A.txt,A223,B029,12,12,2,2,4,4,0,1,1,,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Thank you
12241&12273_A.txt,A241,B273,10,12,2,2,4,4,0,1,1,,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Thank you
12271&12381_A.txt,A381,B271,22,12,2,2,4,4,2,0,2,,,
,,,,,,,,,,,, effects and sides in this mission,,
,,,,,,,,,,,,And there are many positive uh,,
,,,,,,,,,,,,,, effects and sides in this mission
,,,,,,,,,,,,,,And there are many positive uh
12283&12150_B.txt,A150,B283,11,10,2,2,2,2,0,1,1,,,
,,,,,,,,,,,,, Thank you, A,
,,,,,,,,,,,,,, Thank you, A
12284&12023_A.txt,A023,B284,19,15,2,2,4,4,4,2,6,,,
,,,,,,,,,,,, And many things like achievement to our nation,,
,,,,,,,,,,,,Uh,,
,,,,,,,,,,,,Student A,,
,,,,,,,,,,,,Thanks a lot my friend,,
,,,,,,,,,,,,, Uh, what about you?,
,,,,,,,,,,,,,Student, student,
,,,,,,,,,,,,,, Thanks a lot my friend
,,,,,,,,,,,,,,Student, student
,,,,,,,,,,,,,,Uh, what about you?
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Student A
,,,,,,,,,,,,,,And many things like achievement to our nation
12316&12094_B.txt,A316,B094,11,9,2,2,2,2,2,2,4,,,
,,,,,,,,,,,, But uh on the other hand space travel is very dangerous,,
,,,,,,,,,,,,What about you?,,
,,,,,,,,,,,,, Hi,
,,,,,,,,,,,,,Thank you, A,
,,,,,,,,,,,,,, But uh on the other hand space travel is very dangerous
,,,,,,,,,,,,,,Hi
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,Thank you, A
12344&12374_A.txt,A374,B344,12,11,2,2,3,3,0,1,1,,,
,,,,,,,,,,,,, To live uh there,
,,,,,,,,,,,,,, To live uh there
12370&12391_A.txt,A370,B391,11,16,2,2,3,3,0,3,3,,,
,,,,,,,,,,,,, uh…,
,,,,,,,,,,,,,Okay, thank you,
,,,,,,,,,,,,,to fit the space size,
,,,,,,,,,,,,,, uh…
,,,,,,,,,,,,,,Okay, thank you
,,,,,,,,,,,,,,to fit the space size
12372&12134_B.txt,A372,B134,8,12,2,2,4,4,2,2,4,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Great idea,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,What about you?,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,Great idea
12373&12521_B.txt,A521,B373,14,11,2,2,2,2,2,1,3,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,So uh uh moreover about my talking,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,So uh uh moreover about my talking
12375&12126_B.txt,A126,B375,15,14,2,2,2,2,1,3,4,,,
,,,,,,,,,,,, Yeah and uh uh with uh cameras uh to explore uh the place,,
,,,,,,,,,,,,, Uh huh,
,,,,,,,,,,,,,Pros and cons? Yeah the,
,,,,,,,,,,,,,send,
,,,,,,,,,,,,,, Yeah and uh uh with uh cameras uh to explore uh the place
,,,,,,,,,,,,,,Uh huh
,,,,,,,,,,,,,,Pros and cons? Yeah the
,,,,,,,,,,,,,,send
12376&12380_B.txt,A380,B376,11,12,2,2,3,3,2,1,3,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,, Uh okay cool thank you,
,,,,,,,,,,,,,, Uh okay cool thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Thank you
12421&12149_A.txt,A149,B421,15,21,2,2,4,4,4,3,7,,,
,,,,,,,,,,,, What about the negative?,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Okay okay okay thank you, B,,
,,,,,,,,,,,,Uh hi B,,
,,,,,,,,,,,,, Welcome,
,,,,,,,,,,,,,Uh about the negatives,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,, Welcome
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Okay okay okay thank you, B
,,,,,,,,,,,,,,What about the negative?
,,,,,,,,,,,,,,Uh hi B
,,,,,,,,,,,,,,Uh about the negatives
12430&12335_B.txt,A335,B430,21,24,2,2,3,3,3,3,6,,,
,,,,,,,,,,,, Uh let's think about the five billion dollars the government uh give us to explore uh space,,
,,,,,,,,,,,,Uh uh hi B,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,, Hi hi, A,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Uh uh hi B
,,,,,,,,,,,,,,Uh let's think about the five billion dollars the government uh give us to explore uh space
,,,,,,,,,,,,,,Hi hi, A
,,,,,,,,,,,,,,Yes
12441&12440_A.txt,A440,B441,11,11,2,2,4,4,0,2,2,,,
,,,,,,,,,,,,, Okay tha,
,,,,,,,,,,,,,Why?,
,,,,,,,,,,,,,, Okay tha
,,,,,,,,,,,,,,Why?
12464&12451_A.txt,A451,B464,15,13,2,2,3,3,0,1,1,,,
,,,,,,,,,,,,, uh iis enough now,
,,,,,,,,,,,,,, uh iis enough now
12465&12264_B.txt,A264,B465,18,17,2,2,4,4,2,2,4,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Yeah yes,,
,,,,,,,,,,,,, So how about creating a a genetic space telescope,
,,,,,,,,,,,,,And what the negative of this?,
,,,,,,,,,,,,,, So how about creating a a genetic space telescope
,,,,,,,,,,,,,,And what the negative of this?
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Yeah yes
12468&12356_A.txt,A356,B468,16,15,2,2,2,2,0,0,0,,,
12488&12529_A.txt,A529,B488,10,14,2,2,2,3,0,1,1,,,
,,,,,,,,,,,,, And uh,
,,,,,,,,,,,,,, And uh
12492&12506_B.txt,A492,B506,24,23,2,2,3,3,7,7,14,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,Also it's,,
,,,,,,,,,,,,I'm good,,
,,,,,,,,,,,,Sure sure,,
,,,,,,,,,,,,Sure,,
,,,,,,,,,,,,Hello B how you doing?,,
,,,,,,,,,,,,, Well,
,,,,,,,,,,,,,In other word?,
,,,,,,,,,,,,,Thank you so much,
,,,,,,,,,,,,,And what about you?,
,,,,,,,,,,,,,Yes, sure,
,,,,,,,,,,,,,powerful,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Well
,,,,,,,,,,,,,,Also it's
,,,,,,,,,,,,,,Hello B how you doing?
,,,,,,,,,,,,,,I'm good
,,,,,,,,,,,,,,In other word?
,,,,,,,,,,,,,,Thank you so much
,,,,,,,,,,,,,,Sure sure
,,,,,,,,,,,,,,And what about you?
,,,,,,,,,,,,,,Yes, sure
,,,,,,,,,,,,,,Sure
,,,,,,,,,,,,,,powerful
,,,,,,,,,,,,,,Yes
12501&12406_A.txt,A501,B406,13,16,2,2,4,4,0,0,0,,,
12510&12544_A.txt,A510,B544,17,19,2,2,4,4,2,3,5,,,
,,,,,,,,,,,, Uh okay,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,, Okay, bye,
,,,,,,,,,,,,,And uh uh… uh uh also have uh a positive,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,, And uh uh… uh uh also have uh a positive
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Uh okay
,,,,,,,,,,,,,,Okay, bye
,,,,,,,,,,,,,,Yes
12525&12567_A.txt,A567,B525,17,3,2,2,2,2,2,0,2,,,
,,,,,,,,,,,, Uh the government give us… uh uh ten, uh ten, five billion dollars to use for space,,
,,,,,,,,,,,,Also we,,
,,,,,,,,,,,,,, Uh the government give us… uh uh ten, uh ten, five billion dollars to use for space
,,,,,,,,,,,,,,Also we
12530&12563_A.txt,A563,B530,11,8,2,2,3,3,1,0,1,,,
,,,,,,,,,,,, Hi B, uh I, uh, the government give us much money hmm, about uh five billion dollars to explore the space NTA uh what about your mind?,,
,,,,,,,,,,,,,, Hi B, uh I, uh, the government give us much money hmm, about uh five billion dollars to explore the space NTA uh what about your mind?
12564&12177_B.txt,A564,B177,20,16,2,2,2,2,4,3,7,,,
,,,,,,,,,,,, Uh huh,,
,,,,,,,,,,,,Sounds good,,
,,,,,,,,,,,,Wow,,
,,,,,,,,,,,,That's it,,
,,,,,,,,,,,,, Can be remotely operated from earth twenty-four hours a day,
,,,,,,,,,,,,,The to create a scope,
,,,,,,,,,,,,,Is a better choice,
,,,,,,,,,,,,,, Can be remotely operated from earth twenty-four hours a day
,,,,,,,,,,,,,,Wow
,,,,,,,,,,,,,,Is a better choice
,,,,,,,,,,,,,,Uh huh
,,,,,,,,,,,,,,Sounds good
,,,,,,,,,,,,,,The to create a scope
,,,,,,,,,,,,,,That's it
12572&12512_A.txt,A512,B572,10,9,2,2,2,2,0,1,1,,,
,,,,,,,,,,,,, So…,
,,,,,,,,,,,,,, So…
12573&12026_A.txt,A026,B573,21,21,2,2,4,4,3,4,7,,,
,,,,,,,,,,,, Uh how about you? How about your…,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,your space telescope problem?,,
,,,,,,,,,,,,, Okay thank you,
,,,,,,,,,,,,,Thank you A,
,,,,,,,,,,,,,Hi A… uh now, the government give us some budget, about uh… five billion dollars,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,your space telescope problem?
,,,,,,,,,,,,,,Uh how about you? How about your…
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Thank you A
,,,,,,,,,,,,,,Hi A… uh now, the government give us some budget, about uh… five billion dollars
,,,,,,,,,,,,,,Okay thank you
12574&12401_A.txt,A574,B401,14,15,2,2,4,4,1,1,2,,,
,,,,,,,,,,,, Uh of course uh there are some negative about uh the travel to mars,,
,,,,,,,,,,,,, Uh Level 2B,
,,,,,,,,,,,,,, Uh Level 2B
,,,,,,,,,,,,,,Uh of course uh there are some negative about uh the travel to mars
13006&13551_S.txt,A006,B551,2,2,2,2,3,3,0,0,0,,,
13044&13178_S.txt,A044,B178,7,11,2,2,4,4,1,2,3,,,
,,,,,,,,,,,, Hi B,,
,,,,,,,,,,,,, I didn't…,
,,,,,,,,,,,,,And uh t –uh then to go uh the –in the university,
,,,,,,,,,,,,,, I didn't…
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,And uh t –uh then to go uh the –in the university
13062&13483_S.txt,A062,B483,5,5,2,2,4,4,0,1,1,,,
,,,,,,,,,,,,, Okay thank you very much, A,
,,,,,,,,,,,,,, Okay thank you very much, A
13068&13309_S.txt,A068,B309,4,8,2,2,4,4,0,3,3,,,
,,,,,,,,,,,,, And uh have a good luck for uh Matt,
,,,,,,,,,,,,,Thank you for listening,
,,,,,,,,,,,,,Oh god,
,,,,,,,,,,,,,, And uh have a good luck for uh Matt
,,,,,,,,,,,,,,Thank you for listening
,,,,,,,,,,,,,,Oh god
13084&13229_S.txt,A229,B084,16,10,2,2,4,4,5,1,6,,,
,,,,,,,,,,,, Thank you B,,
,,,,,,,,,,,,Abo –about his accent,,
,,,,,,,,,,,,I'm fine,,
,,,,,,,,,,,,Thank you B very much,,
,,,,,,,,,,,,Sorry?,,
,,,,,,,,,,,,, Thank you A,
,,,,,,,,,,,,,, Thank you B
,,,,,,,,,,,,,,Abo –about his accent
,,,,,,,,,,,,,,Thank you A
,,,,,,,,,,,,,,I'm fine
,,,,,,,,,,,,,,Thank you B very much
,,,,,,,,,,,,,,Sorry?
13127&13235_S.txt,A235,B127,8,7,2,2,4,4,2,1,3,,,
,,,,,,,,,,,, Uh the Matt uh is uh finish the PIE…,,
,,,,,,,,,,,,Uh-huh, okay thank you,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Uh the Matt uh is uh finish the PIE…
,,,,,,,,,,,,,,Uh-huh, okay thank you
13129&13263_S.txt,A263,B129,9,5,2,2,3,3,2,0,2,,,
,,,,,,,,,,,, Okay thank you,,
,,,,,,,,,,,,What about you B?,,
,,,,,,,,,,,,,, Okay thank you
,,,,,,,,,,,,,,What about you B?
13172&13174_S.txt,A172,B174,12,15,2,2,4,4,3,4,7,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Thank you Mr B,,
,,,,,,,,,,,,Good,,
,,,,,,,,,,,,, Yeah sure,
,,,,,,,,,,,,,Hi A,
,,,,,,,,,,,,,oh nice,
,,,,,,,,,,,,,Fine uh how are –how about you?,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Hi A
,,,,,,,,,,,,,,Fine uh how are –how about you?
,,,,,,,,,,,,,,Thank you Mr B
,,,,,,,,,,,,,,oh nice
,,,,,,,,,,,,,,Yeah sure
,,,,,,,,,,,,,,Good
13182&13074_S.txt,A074,B182,19,17,2,2,4,4,4,5,9,,,
,,,,,,,,,,,, Have a good day,,
,,,,,,,,,,,,Hi B,,
,,,,,,,,,,,,Oh very good idea, good idea,,
,,,,,,,,,,,,Thank you, Mr B,,
,,,,,,,,,,,,, So listen to last one,
,,,,,,,,,,,,,Hi A,
,,,,,,,,,,,,,Why?,
,,,,,,,,,,,,,You too,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,, Have a good day
,,,,,,,,,,,,,,So listen to last one
,,,,,,,,,,,,,,Hi A
,,,,,,,,,,,,,,Oh very good idea, good idea
,,,,,,,,,,,,,,Why?
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,Thank you, Mr B
,,,,,,,,,,,,,,You too
,,,,,,,,,,,,,,Yes
13210&13185_S.txt,A185,B210,12,12,2,2,4,4,1,5,6,,,
,,,,,,,,,,,, Thank you for interview me,,
,,,,,,,,,,,,, Right,
,,,,,,,,,,,,,After this become and better and better for understand the uh the people with you,
,,,,,,,,,,,,,Uh Matt he uh,
,,,,,,,,,,,,,Thank you A,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,, Right
,,,,,,,,,,,,,,After this become and better and better for understand the uh the people with you
,,,,,,,,,,,,,,Uh Matt he uh
,,,,,,,,,,,,,,Thank you A
,,,,,,,,,,,,,,Thank you for interview me
,,,,,,,,,,,,,,Yes
13303&13161_S.txt,A303,B161,6,6,2,2,4,4,0,1,1,,,
,,,,,,,,,,,,, Yeah, thanks,
,,,,,,,,,,,,,, Yeah, thanks
13312&13320_S.txt,A312,B320,7,7,2,2,4,4,3,2,5,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Uh Mr,,
,,,,,,,,,,,,Stay,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Ah, cool,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Ah, cool
,,,,,,,,,,,,,,Uh Mr
,,,,,,,,,,,,,,Stay
13340&13481_S.txt,A481,B340,30,28,2,2,4,4,8,7,14,,,
,,,,,,,,,,,, Nice to meet you,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Why?,,
,,,,,,,,,,,,Thank you B,,
,,,,,,,,,,,,Best,,
,,,,,,,,,,,,With the American family?,,
,,,,,,,,,,,,Enough to go to the university,,
,,,,,,,,,,,,Uh… hmm to listen a lot of music, American music and get the slangs uh something like that from there,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Ah ha, yeah,
,,,,,,,,,,,,,Or the best solution,
,,,,,,,,,,,,,Oh,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Nice to meet you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Why?
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Thank you B
,,,,,,,,,,,,,,Best
,,,,,,,,,,,,,,With the American family?
,,,,,,,,,,,,,,Enough to go to the university
,,,,,,,,,,,,,,Ah ha, yeah
,,,,,,,,,,,,,,Or the best solution
,,,,,,,,,,,,,,Uh… hmm to listen a lot of music, American music and get the slangs uh something like that from there
,,,,,,,,,,,,,,Oh
,,,,,,,,,,,,,,Yes
13345&13229_S.txt,A229,B345,14,8,2,2,4,4,2,2,4,,,
,,,,,,,,,,,, We'll to give him uh this uh solution,,
,,,,,,,,,,,,Thank you B,,
,,,,,,,,,,,,, What's happened?,
,,,,,,,,,,,,,Welcome, A,
,,,,,,,,,,,,,, Welcome, A
,,,,,,,,,,,,,,What's happened?
,,,,,,,,,,,,,,We'll to give him uh this uh solution
,,,,,,,,,,,,,,Thank you B
13347&13168_S.txt,A168,B347,9,11,2,2,4,4,3,2,5,,,
,,,,,,,,,,,, Thanks B,,
,,,,,,,,,,,,Uh now uh how feeling Matt in the university?,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,, Uh, yes,
,,,,,,,,,,,,,You're welcome,
,,,,,,,,,,,,,, Uh, yes
,,,,,,,,,,,,,,Uh now uh how feeling Matt in the university?
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,You're welcome
,,,,,,,,,,,,,,Thanks B
13352&13009_S.txt,A352,B009,15,17,2,2,4,4,3,4,7,,,
,,,,,,,,,,,, don't understand uh him,,
,,,,,,,,,,,,And,,
,,,,,,,,,,,,Okay, thank you,,
,,,,,,,,,,,,, Yeah, welcome,
,,,,,,,,,,,,,Good morning A,
,,,,,,,,,,,,,Good mor,
,,,,,,,,,,,,,No no,
,,,,,,,,,,,,,, Good mor
,,,,,,,,,,,,,,No no
,,,,,,,,,,,,,,And
,,,,,,,,,,,,,,Okay, thank you
,,,,,,,,,,,,,,don't understand uh him
,,,,,,,,,,,,,,Good morning A
,,,,,,,,,,,,,,Yeah, welcome
13362&13078_S.txt,A362,B078,16,13,2,2,3,3,6,6,12,,,
,,,,,,,,,,,, Oh good,,
,,,,,,,,,,,,Okay, thank you B,,
,,,,,,,,,,,,Hi B,,
,,,,,,,,,,,,Yeah wise solution,,
,,,,,,,,,,,,You too,,
,,,,,,,,,,,,Good,,
,,,,,,,,,,,,, Thank you A, nice to meet you,
,,,,,,,,,,,,,Hi A,
,,,,,,,,,,,,,He is,
,,,,,,,,,,,,,Uh yeah,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,Uh and uh my solution for him to don't feel uh self-conscious,
,,,,,,,,,,,,,, Oh good
,,,,,,,,,,,,,,Thank you A, nice to meet you
,,,,,,,,,,,,,,Okay, thank you B
,,,,,,,,,,,,,,Hi A
,,,,,,,,,,,,,,He is
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,Uh yeah
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Yeah wise solution
,,,,,,,,,,,,,,You too
,,,,,,,,,,,,,,Uh and uh my solution for him to don't feel uh self-conscious
,,,,,,,,,,,,,,Good
13409&13314_S.txt,A314,B409,21,18,2,2,4,4,3,7,9,,,
,,,,,,,,,,,, Nice to meet you,,
,,,,,,,,,,,,Hi,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,, I'll give you three solutions,
,,,,,,,,,,,,,Doesn't work, huh,
,,,,,,,,,,,,,Oh really,
,,,,,,,,,,,,,You agree?,
,,,,,,,,,,,,,Thank you, nice to meet you,
,,,,,,,,,,,,,Hi,
,,,,,,,,,,,,,Okay I'll give you… the last solution,
,,,,,,,,,,,,,, Nice to meet you
,,,,,,,,,,,,,,I'll give you three solutions
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Doesn't work, huh
,,,,,,,,,,,,,,Oh really
,,,,,,,,,,,,,,You agree?
,,,,,,,,,,,,,,Thank you, nice to meet you
,,,,,,,,,,,,,,Hi
,,,,,,,,,,,,,,Okay I'll give you… the last solution
14342&14160_S.txt,A160,B342,11,11,2,2,4,4,1,1,2,,,
,,,,,,,,,,,, Uh we'll try to give them uh mathematics, chess and uh global knowledge,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,, Uh we'll try to give them uh mathematics, chess and uh global knowledge
,,,,,,,,,,,,,,Thank you
14384&14576_S.txt,A576,B384,23,8,2,2,4,4,6,0,6,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Hi B,,
,,,,,,,,,,,,Uh the three groups,,
,,,,,,,,,,,,So I,,
,,,,,,,,,,,,Ok,,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,Uh the three groups
,,,,,,,,,,,,,,So I
,,,,,,,,,,,,,,Ok
14386&14536_S.txt,A536,B386,15,14,2,2,4,4,2,1,3,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Ok let's see the results,,
,,,,,,,,,,,,, Uh yeah,
,,,,,,,,,,,,,, Ok let's see the results
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Uh yeah
14418&14458_S.txt,A458,B418,17,19,2,2,4,4,2,5,6,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Thank you very much,,
,,,,,,,,,,,,, So let's see the result together and do the experiment,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Thank you very much,
,,,,,,,,,,,,,And yeah,
,,,,,,,,,,,,,So let predict uh the the final result of the study,
,,,,,,,,,,,,,, So let's see the result together and do the experiment
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Thank you very much
,,,,,,,,,,,,,,And yeah
,,,,,,,,,,,,,,So let predict uh the the final result of the study
