original_file_name,id_A,id_B,sentence_count_A,sentence_count_B,level_A,level_B,collab_score_avg_A,collab_score_avg_B,fragment_count_A,fragment_count_B,fragment_count_all,fragments_A,fragments_B,fragments_all
,,,,,,,,,,,, What your favourite advertising?,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,, It's okay,
,,,,,,,,,,,,,, What your favourite advertising?
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,It's okay
02128&02153_B.txt,A153,B128,3,2,1,1,2,2,0,0,0,,,
02131&02142_A.txt,A142,B131,13,11,1,1,2,2,7,3,10,,,
,,,,,,,,,,,, Okay,,
,,,,,,,,,,,,What uh the,,
,,,,,,,,,,,,Its weight,,
,,,,,,,,,,,,Uh five years?,,
,,,,,,,,,,,,Okay how about the zoom?,,
,,,,,,,,,,,,Yeah uh,,
,,,,,,,,,,,,eight hundred uh picture and uh uh,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,thousand uh,
,,,,,,,,,,,,,Like two pound actually yeah,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Like two pound actually yeah
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,What uh the
,,,,,,,,,,,,,,Its weight
,,,,,,,,,,,,,,Uh five years?
,,,,,,,,,,,,,,Okay how about the zoom?
,,,,,,,,,,,,,,Yeah uh
,,,,,,,,,,,,,,thousand uh
,,,,,,,,,,,,,,eight hundred uh picture and uh uh
02134&02582_A.txt,A582,B134,10,11,1,1,3,3,3,1,4,,,
,,,,,,,,,,,, Thank you B, goodbye, have a nice day,,
,,,,,,,,,,,,From where?,,
,,,,,,,,,,,,Goodbye,,
,,,,,,,,,,,,, Okay, the,
,,,,,,,,,,,,,, Okay, the
,,,,,,,,,,,,,,From where?
,,,,,,,,,,,,,,Goodbye
,,,,,,,,,,,,,,Thank you B, goodbye, have a nice day
02144&02346_A.txt,A144,B346,23,29,1,1,3,3,10,5,14,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Uh-huh, sure,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Hmm,,
,,,,,,,,,,,,Two battery?,,
,,,,,,,,,,,,Wow,,
,,,,,,,,,,,,A good uh a many,,
,,,,,,,,,,,,Wait wait excuse me B,,
,,,,,,,,,,,,System and uh,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,, Ah, okay,
,,,,,,,,,,,,,To take a picture,
,,,,,,,,,,,,,The contact,
,,,,,,,,,,,,,You're welcome,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Ah, okay
,,,,,,,,,,,,,,Uh-huh, sure
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Hmm
,,,,,,,,,,,,,,Two battery?
,,,,,,,,,,,,,,To take a picture
,,,,,,,,,,,,,,Wow
,,,,,,,,,,,,,,A good uh a many
,,,,,,,,,,,,,,Wait wait excuse me B
,,,,,,,,,,,,,,System and uh
,,,,,,,,,,,,,,The contact
,,,,,,,,,,,,,,You're welcome
,,,,,,,,,,,,,,Yes
02145&02350_B.txt,A350,B145,8,6,1,1,3,3,1,2,3,,,
,,,,,,,,,,,, Thank you B,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Oh what about the price of the product?,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Oh what about the price of the product?
,,,,,,,,,,,,,,Thank you B
02161&02592_A.txt,A592,B161,37,37,1,1,4,3,7,6,13,,,
,,,,,,,,,,,, Oh really?,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Did you?,,
,,,,,,,,,,,,Hi B,,
,,,,,,,,,,,,Yeah and uh uh,,
,,,,,,,,,,,,Okay, uh come with me,,
,,,,,,,,,,,,, Oh uh really?,
,,,,,,,,,,,,,Yes in Phoenix last weekend,
,,,,,,,,,,,,,Oh cool,
,,,,,,,,,,,,,Hello A,
,,,,,,,,,,,,,Oh,
,,,,,,,,,,,,,Ah okay, thank you very much,
,,,,,,,,,,,,,, Oh really?
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Oh uh really?
,,,,,,,,,,,,,,Did you?
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,Yes in Phoenix last weekend
,,,,,,,,,,,,,,Oh cool
,,,,,,,,,,,,,,Yeah and uh uh
,,,,,,,,,,,,,,Hello A
,,,,,,,,,,,,,,Oh
,,,,,,,,,,,,,,Okay, uh come with me
,,,,,,,,,,,,,,Ah okay, thank you very much
02162&02058_A.txt,A058,B162,8,12,1,1,2,2,1,0,1,,,
,,,,,,,,,,,, Yes,,
,,,,,,,,,,,,,, Yes
02173&02075_C.txt,A075,B173,12,12,1,1,4,4,5,6,10,,,
,,,,,,,,,,,, Or activity,,
,,,,,,,,,,,,Uh-huh,,
,,,,,,,,,,,,How about you?,,
,,,,,,,,,,,,Yeah yeah,,
,,,,,,,,,,,,Thank you B,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,That's right,
,,,,,,,,,,,,,Uh-huh,
,,,,,,,,,,,,,Yes NTA,
,,,,,,,,,,,,,Thank you A,
,,,,,,,,,,,,,Exercise yeah,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,That's right
,,,,,,,,,,,,,,Or activity
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,Yes NTA
,,,,,,,,,,,,,,Thank you A
,,,,,,,,,,,,,,Exercise yeah
,,,,,,,,,,,,,,How about you?
,,,,,,,,,,,,,,Yeah yeah
,,,,,,,,,,,,,,Thank you B
02187&02186_A.txt,A187,B186,27,20,1,1,4,4,6,5,11,,,
,,,,,,,,,,,, Uh actually there are two ways to buy this product,,
,,,,,,,,,,,,Thank you, have a good day,,
,,,,,,,,,,,,Absolutely,,
,,,,,,,,,,,,Bye,,
,,,,,,,,,,,,Sure,,
,,,,,,,,,,,,Uh hi sir,,
,,,,,,,,,,,,, Wow,
,,,,,,,,,,,,,Okay, thank you,
,,,,,,,,,,,,,Hi,
,,,,,,,,,,,,,Yes sure,
,,,,,,,,,,,,,Sound good,
,,,,,,,,,,,,,, Uh actually there are two ways to buy this product
,,,,,,,,,,,,,,Thank you, have a good day
,,,,,,,,,,,,,,Wow
,,,,,,,,,,,,,,Okay, thank you
,,,,,,,,,,,,,,Absolutely
,,,,,,,,,,,,,,Hi
,,,,,,,,,,,,,,Yes sure
,,,,,,,,,,,,,,Bye
,,,,,,,,,,,,,,Sure
,,,,,,,,,,,,,,Uh hi sir
,,,,,,,,,,,,,,Sound good
02188&02436_A.txt,A436,B188,14,11,1,1,2,2,6,3,9,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Now your choice to leave the smoking,,
,,,,,,,,,,,,say let's leave the smoking,,
,,,,,,,,,,,,just uh let's leave the smoking,,
,,,,,,,,,,,,Uh… so… the smoking just bring a lot of disease,,
,,,,,,,,,,,,Let's start story about NTA,,
,,,,,,,,,,,,, Uh,
,,,,,,,,,,,,,Have a nice day,
,,,,,,,,,,,,,Huh?,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Have a nice day
,,,,,,,,,,,,,,Now your choice to leave the smoking
,,,,,,,,,,,,,,just uh let's leave the smoking
,,,,,,,,,,,,,,Huh?
,,,,,,,,,,,,,,say let's leave the smoking
